train_number,train_name,train_type,zone,origin_code,origin,destination_code,destination,current_station_code,current_station,next_station_code,next_station,scheduled_arrival,actual_arrival,delay_minutes,latitude,longitude,speed_kmph,distance_covered_km,total_distance_km,stops_done,total_stops,timestamp
14707,BIKANER - MUMBAI BANDRA Ranakpur Exp,Exp,NWR,BKN,BIKANER JN,BDTS,MUMBAI BANDRA TERMINUS,BGG,BANTA RAGHUNATHGARH,BWA,BHINWALIYA,17:39:00,17:40:00,8,25.5717,73.50245,50,390.3,1199,41,183,2026-09-06T17:45:00+05:30
14854,Marudhar Express,Exp,NWR,JU,JODHPUR JN,BSB,VARANASI JN,BUDA,BHUDA,MURD,MANDAWAR MAHUA RD,17:47:00,17:45:00,2,27.12899,76.81454,70,430.1,1231.6,57,164,2026-09-06T17:45:00+05:30
15022,Bhojpuri Express,Exp,NER,GKP,GORAKHPUR JN,SHM,KOLKATA SHALIMAR,RJI,RAJAWARI,KDQ,KADIPUR,17:42:00,17:35:00,7,25.46271,83.10258,29,206.5,1064.6,28,152,2026-09-06T17:45:00+05:30
15051,Poorvanchal Express,Exp,NER,KOAA,KOLKATA CHITPUR,GKP,GORAKHPUR JN,MNAE,MANKAR,PAN,PANAGARH,17:30:00,17:45:00,23,23.42037,87.55582,91,221.6,927.5,40,139,2026-09-06T17:45:00+05:30
15160,Sarnath Express,Exp,NER,DURG,DURG,CPR,CHHAPRA,SAHR,SAHERI,AKS,ANKUSPUR,17:45:00,17:44:00,4,25.56155,83.45809,56,900,1038,117,140,2026-09-06T17:45:00+05:30
15717,Guwahati Mariani Intercity Express,Exp,NFR,GHY,GUWAHATI,MXN,MARIANI JN,RXR,RANGAPAHAR,RXRX,RANGAPAHAR CRS,17:48:00,17:43:00,2,25.85876,93.70988,14,231.2,371.4,32,50,2026-09-06T17:45:00+05:30
15905,KANNIYAKUMARI - DIBRUGARH Vivek Exp,Exp,NFR,CAPE,KANYAKUMARI,DBRG,DIBRUGARH,KFI,KAPPIL,PVU,PARAVUR,17:26:00,17:41:00,22,8.80019,76.67312,36,129.5,4027.1,29,596,2026-09-06T17:45:00+05:30
15906,DIBRUGARH - KANNIYAKUMARI Vivek Exp,Exp,NFR,DBRG,DIBRUGARH,CAPE,KANYAKUMARI,KAMG,KAMAKHYAGURI,APDJ,ALIPUR DUAR JN,17:45:00,17:31:00,9,26.50797,89.60753,50,805.1,4027,101,596,2026-09-06T17:45:00+05:30
16058,Saptagiri Express,Exp,SR,TPTY,TIRUPATI MAIN,MAS,CHENNAI CENTRAL,TPTY,TIRUPATI MAIN,RU,RENIGUNTA JN,17:40:00,17:22:00,2,13.63626,79.50629,28,9.5,142.8,1,40,2026-09-06T17:45:00+05:30
16307,Executive Express,Exp,SR,ALLP,ALLEPPEY,CAN,KANNUR,PUK,PUDUKAD,OLR,THRISSUR OLLUR HALT,17:49:00,17:40:00,2,10.43812,76.25287,43,114.4,323.6,26,68,2026-09-06T17:45:00+05:30
16334,TRIVANDRUM - VERAVAL Exp,Exp,SR,TVC,TRIVANDRUM CENTRAL,VRL,VERAVAL,TRVL,TIRUVALLA,CGY,CHANGANASERI,17:42:00,17:43:00,20,9.39215,76.58027,26,125.8,2286,28,322,2026-09-06T17:45:00+05:30
16352,NAGERCOIL - MUMBAI CST Balaji Exp,Exp,SR,NCJ,NAGERCOIL JN,CSTM,MUMBAI CST,CGL,CHENGALPATTU,RDY,REDIPALAYAM,17:43:00,17:41:00,8,12.70389,79.97293,46,648.4,1880.4,90,272,2026-09-06T17:45:00+05:30
16590,Rani Chennamma Express,Exp,SWR,KOP,C SHAHU M RAJ KOLHAPUR TERM,SBC,BANGALORE CITY JN,PCH,PACHHAPUR,SUL,SULADHAL,17:49:00,17:35:00,2,16.04091,74.67558,44,146.7,755.5,19,102,2026-09-06T17:45:00+05:30
17016,Visakha Express,Exp,SCR,SC,SECUNDERABAD JN,BBS,BHUBANESWAR,NRDP,NAGIREDDIPALLI,VLG,VANIGONDA,17:51:00,17:44:00,1,17.41531,78.94855,72,50.4,1098.2,7,165,2026-09-06T17:45:00+05:30
17226,Amaravati Express,Exp,SCR,UBL,HUBLI JN,BZA,VIJAYAWADA JN,MLGT,MALLAPPA GATE,MKR,MADDIKERA,17:39:00,17:43:00,9,15.23767,77.39689,53,255.7,661.6,34,81,2026-09-06T17:45:00+05:30
17604,Prashanti Nilayam Express,Exp,SCR,YPR,YESVANTPUR JN,KCG,KACHEGUDA,YNK,YELHANKA JN,RNN,RAJANKUNTI,16:43:00,17:38:00,65,13.14739,77.57547,64,15.3,626,4,80,2026-09-06T17:45:00+05:30
18106,Bhubaneswar-Rourkela InterCity,Exp,SER,BBS,BHUBANESWAR,ROU,ROURKELA,CHAR,CHARMAL,JUJA,JUJUMURA,17:33:00,17:36:00,22,21.16358,84.17135,55,223.8,405.9,30,53,2026-09-06T17:45:00+05:30
18207,Durg Jaipur Express,Exp,SECR,DURG,DURG,JP,JAIPUR,DBEC,DEVBALODA CHARODA,KMI,KUMHARI,16:35:00,17:44:00,78,21.21673,81.45777,51,17.6,1234.4,5,138,2026-09-06T17:45:00+05:30
18412,Visakhapatnam-Bhubaneswar Inter City Express,Exp,ECoR,VSKP,VISHAKAPATNAM,BBS,BHUBANESWAR,KBM,KOTABOMMALI,DGB,DINDU GOPALA PURAM HALT,17:46:00,17:40:00,3,18.51567,84.2208,56,162.4,430.7,22,63,2026-09-06T17:45:00+05:30
18463,Prasanti Express,Exp,ECoR,BBS,BHUBANESWAR,SBC,BANGALORE CITY JN,PRH,POWERPET,VAT,VATLUR,17:46:00,17:42:00,8,16.70852,81.09107,35,719.2,1489.7,113,203,2026-09-06T17:45:00+05:30
18604,Bhagalpur Ranchi Express,Exp,SER,BGP,BHAGALPUR,RNC,RANCHI,BGP,BHAGALPUR,NAT,NATHNAGAR,16:59:00,18:04:00,69,25.24191,86.97679,63,0,488.5,1,73,2026-09-06T17:45:00+05:30
19119,Ahmedabad Somnath Intercity Express,Exp,WR,ADI,AHMEDABAD JN,VRL,VERAVAL,NUD,NAVAGADH,JLR,JETALSAR JN,17:12:00,17:26:00,41,21.74013,70.58708,14,310.7,417.8,43,56,2026-09-06T17:45:00+05:30
19314,Patna Indore Express,Exp,WR,RJPB,RAJENDRA NAGAR BIHAR,INDB,INDORE JN BG,HRPG,HARPALGANJ,KEPR,KOIRIPUR,17:30:00,17:37:00,17,26.00683,82.35276,63,329,1327.2,50,175,2026-09-06T17:45:00+05:30
19601,Ajmer New Jalpaiguri Weekly Express,Exp,NWR,AII,AJMER JN,NJP,NEW JALPAIGURI,AMRO,AMROHA,KIV,KAIALSA,17:43:00,17:39:00,3,28.88203,78.54825,73,588.2,1947.8,86,283,2026-09-06T17:45:00+05:30
52326,Saharsa-Forbesganj Passenger,Pass,?,SHC,SAHARSA JN,FBG,FORBESGANJ,TB,Tharbitia,SRGR,Saraygarh,16:36:00,17:36:00,103,,,,39.5,103.8,6,11,2026-09-06T17:45:00+05:30
54815,Jodhpur Barmer Passenger,Pass,NWR,JU,JODHPUR JN,BME,BARMER,JNE,JANIYANA,BLT,BALOTRA JN,17:41:00,17:33:00,3,25.83007,72.24868,58,111.4,204.5,14,24,2026-09-06T17:45:00+05:30
57475,Tirupati Guntakal Passenger,Pass,SCR,TPTY,TIRUPATI MAIN,GTL,GUNTAKAL JN,ZPL,ZANGALAPALLE,ATP,ANANTAPUR,16:59:00,17:33:00,49,14.6662,77.60507,50,285.6,352.2,28,35,2026-09-06T17:45:00+05:30
